backend,backend_label,is_primary,scale,criterion_spearman,classification_accuracy,permutation_null_mean,permutation_p,axis_bootstrap_q025_cosine,generated_axis_cosine,generated_prediction_convergence,generated_axis_criterion_spearman,generated_pairs_accepted,generated_pairs_discarded,generated_pairs_reversed_corrected,generated_pairs_duplicates_discarded
gemini,Gemini Embedding 2,True,IE,0.8052916239963938,0.6139534883720931,0.2888939534883721,0.0001999600079984003,0.7334291695843927,0.709367645722223,0.9543063336166783,0.8061007509504331,40,0,0,0
gemini,Gemini Embedding 2,True,SN,0.5837331545979129,0.6139534883720931,0.2888939534883721,0.0001999600079984003,0.671585425561324,0.448923149843488,0.4682984614019096,0.6281306099943819,40,0,0,0
gemini,Gemini Embedding 2,True,FT,0.7490230425851474,0.6139534883720931,0.2888939534883721,0.0001999600079984003,0.6627094739139062,0.33380536199942495,0.8258130809854947,0.7416740664050688,40,0,0,0
gemini,Gemini Embedding 2,True,JP,0.7257955945529312,0.6139534883720931,0.2888939534883721,0.0001999600079984003,0.7117896162206592,0.5700215729906423,0.720528182597148,0.8220336768932112,40,0,0,0
mpnet,all-mpnet-base-v2,False,IE,0.7094879200041385,0.39069767441860465,0.280886511627907,0.0001999600079984003,0.6653988931779901,0.6155830666017437,0.9113334630576009,0.7230996886360147,40,0,0,0
mpnet,all-mpnet-base-v2,False,SN,0.3469529855517982,0.39069767441860465,0.280886511627907,0.0001999600079984003,0.606080939691153,0.384732056705233,0.5203827548655134,0.5097792789219704,40,0,0,0
mpnet,all-mpnet-base-v2,False,FT,0.2936866100112956,0.39069767441860465,0.280886511627907,0.0001999600079984003,0.6442651845072362,0.20905810967804264,0.46812367502022667,0.5315751470923737,40,0,0,0
mpnet,all-mpnet-base-v2,False,JP,0.43287812685459104,0.39069767441860465,0.280886511627907,0.0001999600079984003,0.6763256276357908,0.23808977719976876,0.05230072816279712,0.4792098347255094,40,0,0,0
bge_m3,BGE-M3,False,IE,0.6732093303344855,0.5116279069767442,0.29399162790697675,0.0001999600079984003,0.6957046148455314,0.7280249452228721,0.9613640165364301,0.6837419782918973,40,0,0,0
bge_m3,BGE-M3,False,SN,0.3511021655716236,0.5116279069767442,0.29399162790697675,0.0001999600079984003,0.6049318812396962,0.3518410608149791,0.21395218636597946,0.4403040729563678,40,0,0,0
bge_m3,BGE-M3,False,FT,0.30054738420598387,0.5116279069767442,0.29399162790697675,0.0001999600079984003,0.5581783306876347,0.3125918594830913,0.6370157956364852,0.4582615476863163,40,0,0,0
bge_m3,BGE-M3,False,JP,0.3291202707004899,0.5116279069767442,0.29399162790697675,0.0001999600079984003,0.6813508596903285,0.384051319576334,0.06742248121558465,0.5081581471943526,40,0,0,0
